Area,Date,FirstTrialPhase,Material,ContaminationRate,Treated,Post,Treated_Post
UTOWN,3/9/2020,3,PlasticContaminant,56.30177163,1,1,1
UTOWN,3/11/2020,3,PlasticContaminant,66.0820699,1,1,1
UTOWN,3/12/2020,3,PlasticContaminant,55.65739602,1,1,1
UTOWN,3/13/2020,3,PlasticContaminant,56.03044574,1,1,1
UTOWN,3/14/2020,3,PlasticContaminant,61.64062259,1,1,1
UTOWN,3/16/2020,3,PlasticContaminant,55.65739602,1,1,1
UTOWN,3/17/2020,3,PlasticContaminant,61.13981665,1,1,1
ENGINE,1/15/2020,1,CanContaminant,0.869565217,0,0,0
ENGINE,1/16/2020,1,CanContaminant,17.17032967,0,0,0
ENGINE,1/17/2020,1,CanContaminant,29.04761905,0,0,0
ENGINE,1/18/2020,1,CanContaminant,12.22222222,0,0,0
ENGINE,1/19/2020,1,CanContaminant,0.0,0,0,0
ENGINE,1/20/2020,1,CanContaminant,2.5,0,0,0
ENGINE,1/21/2020,1,CanContaminant,15.17628205,0,0,0
ENGINE,1/22/2020,1,CanContaminant,9.166666666,0,0,0
ENGINE,1/23/2020,1,CanContaminant,8.99621212,0,0,0
ENGINE,1/29/2020,1,CanContaminant,17.5,0,0,0
ENGINE,1/30/2020,1,CanContaminant,17.67806268,0,0,0
ENGINE,1/31/2020,1,CanContaminant,15.71428571,0,0,0
ENGINE,2/1/2020,1,CanContaminant,10.71428571,0,0,0
ENGINE,2/3/2020,1,CanContaminant,5.714285714,0,0,0
ENGINE,2/4/2020,1,CanContaminant,14.58333333,0,0,0
ENGINE,2/5/2020,1,CanContaminant,20.53571429,0,0,0
ENGINE,2/6/2020,1,CanContaminant,29.76190476,0,0,0
ENGINE,2/7/2020,1,CanContaminant,30.84150327,0,0,0
ENGINE,2/10/2020,1,CanContaminant,23.95833333,0,0,0
ENGINE,2/11/2020,2,CanContaminant,11.9047619,0,1,0
ENGINE,2/12/2020,2,CanContaminant,8.333333333,0,1,0
ENGINE,2/13/2020,2,CanContaminant,34.3956044,0,1,0
ENGINE,2/14/2020,2,CanContaminant,15.96581196,0,1,0
ENGINE,2/15/2020,2,CanContaminant,0.0,0,1,0
ENGINE,2/17/2020,2,CanContaminant,6.712962963,0,1,0
ENGINE,2/18/2020,2,CanContaminant,14.28571429,0,1,0
ENGINE,2/19/2020,2,CanContaminant,6.802721089,0,1,0
ENGINE,2/20/2020,2,CanContaminant,2.083333333,0,1,0
ENGINE,2/21/2020,2,CanContaminant,7.142857143,0,1,0
ENGINE,2/22/2020,2,CanContaminant,20.79365079,0,1,0
ENGINE,3/4/2020,3,CanContaminant,13.14149865,0,1,0
ENGINE,3/5/2020,3,CanContaminant,21.81318681,0,1,0
ENGINE,3/6/2020,3,CanContaminant,0.0,0,1,0
ENGINE,3/7/2020,3,CanContaminant,0.0,0,1,0
ENGINE,3/9/2020,3,CanContaminant,5.357142858,0,1,0
ENGINE,3/10/2020,3,CanContaminant,4.166666667,0,1,0
ENGINE,3/11/2020,3,CanContaminant,4.166666667,0,1,0
ENGINE,3/12/2020,3,CanContaminant,14.22222222,0,1,0
ENGINE,3/13/2020,3,CanContaminant,0.833333333,0,1,0
ENGINE,3/14/2020,3,CanContaminant,0.0,0,1,0
ENGINE,3/16/2020,3,CanContaminant,6.25,0,1,0
ENGINE,3/17/2020,3,CanContaminant,20.63492064,0,1,0
UTOWN,1/13/2020,1,CanContaminant,46.72705314,1,0,0
UTOWN,1/14/2020,1,CanContaminant,43.38095238,1,0,0
UTOWN,1/15/2020,1,CanContaminant,40.53030303,1,0,0
UTOWN,1/17/2020,1,CanContaminant,30.93879649,1,0,0
UTOWN,1/18/2020,1,CanContaminant,32.14285714,1,0,0
UTOWN,1/19/2020,1,CanContaminant,38.0952381,1,0,0
UTOWN,1/20/2020,1,CanContaminant,44.33541767,1,0,0
UTOWN,1/21/2020,1,CanContaminant,39.12646384,1,0,0
UTOWN,1/22/2020,1,CanContaminant,30.32212885,1,0,0
UTOWN,1/23/2020,1,CanContaminant,45.76541514,1,0,0
UTOWN,1/29/2020,1,CanContaminant,31.02162375,1,0,0
UTOWN,1/30/2020,1,CanContaminant,15.26515152,1,0,0
UTOWN,1/31/2020,1,CanContaminant,33.38293651,1,0,0
UTOWN,2/1/2020,1,CanContaminant,26.59313726,1,0,0
UTOWN,2/3/2020,1,CanContaminant,52.5297619,1,0,0
UTOWN,2/4/2020,1,CanContaminant,25.46296296,1,0,0
UTOWN,2/5/2020,1,CanContaminant,34.09340659,1,0,0
UTOWN,2/6/2020,1,CanContaminant,56.28472222,1,0,0
UTOWN,2/10/2020,1,CanContaminant,27.02589078,1,0,0
UTOWN,2/11/2020,2,CanContaminant,27.29166667,1,1,1
UTOWN,2/12/2020,2,CanContaminant,6.25,1,1,1
UTOWN,2/13/2020,2,CanContaminant,34.16666667,1,1,1
UTOWN,2/14/2020,2,CanContaminant,20.13888889,1,1,1
UTOWN,2/15/2020,2,CanContaminant,21.48148148,1,1,1
UTOWN,2/17/2020,2,CanContaminant,24.18612973,1,1,1
UTOWN,2/18/2020,2,CanContaminant,14.58874459,1,1,1
UTOWN,2/19/2020,2,CanContaminant,8.944805195,1,1,1
UTOWN,2/20/2020,2,CanContaminant,17.79166212,1,1,1
UTOWN,2/21/2020,2,CanContaminant,26.93277311,1,1,1
UTOWN,2/22/2020,2,CanContaminant,0.0,1,1,1
UTOWN,3/4/2020,3,CanContaminant,31.27979355,1,1,1
UTOWN,3/5/2020,3,CanContaminant,14.83974359,1,1,1
UTOWN,3/6/2020,3,CanContaminant,27.08333333,1,1,1
UTOWN,3/7/2020,3,CanContaminant,21.58730159,1,1,1
UTOWN,3/9/2020,3,CanContaminant,19.18767507,1,1,1
UTOWN,3/11/2020,3,CanContaminant,20.23809524,1,1,1
UTOWN,3/12/2020,3,CanContaminant,26.18055555,1,1,1
UTOWN,3/13/2020,3,CanContaminant,14.74829932,1,1,1
UTOWN,3/14/2020,3,CanContaminant,22.26916602,1,1,1
UTOWN,3/16/2020,3,CanContaminant,26.18055555,1,1,1
UTOWN,3/17/2020,3,CanContaminant,21.77083333,1,1,1
